date,Joe Biden,Donald Trump,Trump,Republicans,Democrats,A.O.C.,AOC,Bernie Sanders,Elizabeth Warren,Mayor Pete,Michael Bloomberg,Roger Stone,Fox News
2020-04-01,3,13,13,15,14,0,6,7,10,0,0,0,82
2020-04-02,4,12,12,10,17,0,4,6,0,0,34,0,77
2020-04-03,5,10,11,20,20,0,6,2,10,0,35,0,69
2020-04-04,5,12,12,29,12,0,7,4,23,0,0,0,66
2020-04-05,3,12,14,29,17,0,10,4,11,0,0,0,66
2020-04-06,3,12,12,10,23,0,9,4,0,0,0,0,70
2020-04-07,4,13,12,31,23,0,8,4,10,0,0,0,66
2020-04-08,19,13,13,30,33,0,6,100,15,0,34,0,66
2020-04-09,13,12,11,15,25,0,8,29,0,0,0,0,66
2020-04-10,7,9,10,11,26,0,11,11,10,0,0,0,58
2020-04-11,5,9,10,12,21,0,4,7,12,0,0,2,57
2020-04-12,7,10,8,22,20,0,8,4,16,0,38,0,61
2020-04-13,7,13,12,14,19,0,6,6,9,0,33,2,70
2020-04-14,9,14,17,29,22,0,3,10,14,0,0,3,57
2020-04-15,9,17,17,33,38,0,6,9,28,76,0,2,58
2020-04-16,6,15,16,19,26,0,9,3,19,0,0,4,65
2020-04-17,8,13,15,20,20,0,4,4,10,0,34,2,54
2020-04-18,5,13,12,34,36,0,5,2,0,0,0,8,51
2020-04-19,6,13,14,27,30,0,7,2,11,0,0,4,52
2020-04-20,4,8,10,15,22,0,4,2,10,0,0,2,56
2020-04-21,5,13,13,27,32,0,11,3,10,0,0,4,60
2020-04-22,6,9,15,32,29,0,13,1,0,0,73,2,51
2020-04-23,3,10,15,30,27,0,22,2,93,0,0,2,57
2020-04-24,5,16,23,21,31,0,9,1,35,0,0,2,54
2020-04-25,7,13,15,23,17,0,12,2,17,0,0,2,47
2020-04-26,7,14,13,24,36,0,7,4,17,0,0,2,46
2020-04-27,6,8,11,16,21,0,5,2,0,0,0,0,45
2020-04-28,8,9,9,11,24,0,10,2,21,0,0,2,53
2020-04-29,10,10,9,20,23,0,9,2,10,0,0,4,45
2020-04-30,9,7,9,14,21,0,4,2,28,0,33,3,56
2020-05-01,16,8,8,35,12,0,6,1,24,0,0,4,45
2020-05-02,11,5,8,39,8,0,5,1,27,0,0,2,43
2020-05-03,7,10,8,23,17,0,3,2,28,0,0,2,41
2020-05-04,4,8,7,39,22,0,6,2,14,0,0,2,53
2020-05-05,5,9,8,45,18,0,8,2,30,0,30,0,43
2020-05-06,6,8,7,19,25,0,9,2,19,0,0,0,43
2020-05-07,6,9,8,25,29,0,9,2,29,0,0,4,44
2020-05-08,4,9,8,10,22,0,10,4,19,0,0,2,47
2020-05-09,4,9,7,22,21,0,7,2,11,0,0,2,41
2020-05-10,5,7,8,12,26,0,4,3,12,0,0,5,42
2020-05-11,2,10,8,20,23,0,6,1,60,0,0,2,44
2020-05-12,5,11,10,20,55,0,6,2,44,0,0,2,52
2020-05-13,4,11,9,10,25,0,6,3,24,0,0,3,51
2020-05-14,4,8,8,39,22,82,10,2,24,0,0,2,44
2020-05-15,5,9,9,31,23,0,6,2,10,0,34,0,45
2020-05-16,8,12,9,52,31,0,7,4,11,0,39,0,43
2020-05-17,3,11,9,23,39,0,7,4,51,0,0,2,40
2020-05-18,5,10,10,10,19,0,7,5,38,0,0,0,44
2020-05-19,4,13,12,30,20,0,9,1,34,0,0,0,49
2020-05-20,4,7,10,10,35,0,7,2,10,0,51,2,44
2020-05-21,3,7,8,10,31,0,11,0,25,0,0,2,52
2020-05-22,18,11,10,10,28,0,3,3,31,0,0,0,45
2020-05-23,18,10,9,23,23,0,3,2,39,0,40,0,38
2020-05-24,17,8,9,12,29,0,4,2,34,0,40,0,38
2020-05-25,7,12,9,12,17,0,10,2,17,0,39,0,34
2020-05-26,10,10,9,25,13,0,6,1,15,0,34,2,48
2020-05-27,9,12,12,30,20,0,4,3,29,0,0,0,46
2020-05-28,7,11,14,25,15,0,5,2,15,0,0,0,50
2020-05-29,8,25,21,36,38,0,5,2,35,84,35,0,52
2020-05-30,4,19,19,28,22,0,8,2,22,0,0,0,96
2020-05-31,4,28,21,17,32,0,5,2,11,0,0,2,70
2020-06-01,9,38,31,21,31,0,14,2,20,0,0,0,76
2020-06-02,13,37,37,47,38,0,3,4,15,0,35,2,80
2020-06-03,8,29,30,44,34,0,9,4,38,0,0,0,67
2020-06-04,6,27,23,44,22,0,7,4,24,0,0,2,56
2020-06-05,6,20,20,64,46,0,6,5,57,79,33,0,54
2020-06-06,9,23,19,39,42,0,5,3,44,0,0,2,48
2020-06-07,9,18,16,85,17,0,8,4,33,0,0,0,51
2020-06-08,8,22,16,28,59,0,13,5,55,76,0,0,58
2020-06-09,13,16,14,70,100,0,8,9,100,75,32,0,45
2020-06-10,6,12,14,50,54,0,10,3,10,80,0,2,55
2020-06-11,8,16,14,41,60,0,12,1,0,0,35,0,47
2020-06-12,9,16,14,47,36,0,3,2,10,0,0,3,54
2020-06-13,7,17,15,47,32,0,10,2,11,0,0,0,49
2020-06-14,10,28,23,64,40,0,5,2,11,0,0,0,63
2020-06-15,5,22,18,56,30,0,6,1,10,0,35,0,63
2020-06-16,6,17,15,15,25,0,3,5,20,0,0,2,54
2020-06-17,5,11,15,31,49,0,8,3,20,0,0,2,56
2020-06-18,4,16,17,31,33,0,3,1,0,0,0,2,63
2020-06-19,5,14,18,48,29,0,8,1,10,0,0,0,51
2020-06-20,10,15,28,41,40,0,7,2,0,94,40,0,45
2020-06-21,12,24,37,48,30,0,21,3,23,0,41,2,59
2020-06-22,8,14,19,21,41,0,18,1,15,0,0,2,54
2020-06-23,6,17,18,41,30,0,49,2,10,0,0,2,58
2020-06-24,6,16,15,36,30,0,82,3,10,0,0,6,51
2020-06-25,7,15,14,31,28,0,37,1,0,0,0,2,58
2020-06-26,11,14,13,37,32,0,13,2,21,0,0,3,50
2020-06-27,9,23,15,41,26,0,10,2,11,0,0,4,44
2020-06-28,7,43,24,23,37,0,9,2,11,0,0,5,49
2020-06-29,8,38,22,16,29,0,9,3,10,0,36,4,52
2020-06-30,7,20,17,53,31,0,8,1,10,0,36,4,55
2020-07-01,10,15,15,32,36,0,9,1,10,0,0,2,58
2020-07-02,7,17,15,27,24,0,16,1,0,0,0,2,51
2020-07-03,8,13,15,23,14,0,5,1,0,0,0,2,42
2020-07-04,5,24,24,19,28,0,19,2,0,0,0,3,56
2020-07-05,8,18,18,25,28,0,7,2,12,0,0,3,53
2020-07-06,9,14,16,46,18,0,18,1,0,0,0,2,56
2020-07-07,5,16,17,21,28,0,6,1,20,0,0,4,52
2020-07-08,6,16,16,16,20,0,8,0,0,0,36,4,57
2020-07-09,7,18,17,37,24,0,16,1,0,0,36,5,52
2020-07-10,7,11,14,38,8,0,6,3,16,0,0,9,50
2020-07-11,6,12,14,24,15,0,4,1,0,0,0,100,43
2020-07-12,6,11,14,24,18,0,14,1,0,0,0,30,44
2020-07-13,5,11,14,26,18,0,11,2,15,0,0,23,53
2020-07-14,5,12,15,11,26,0,13,2,0,0,0,14,52
2020-07-15,5,18,19,21,45,0,11,0,0,0,36,6,46
2020-07-16,6,17,15,11,16,0,13,1,0,0,0,4,50
2020-07-17,8,10,14,33,30,0,16,0,21,0,0,3,50
2020-07-18,5,16,17,30,18,0,20,0,0,0,0,2,44
2020-07-19,8,14,15,18,30,0,5,3,12,0,41,17,41
2020-07-20,7,12,14,37,26,0,8,0,10,0,0,5,48
2020-07-21,8,10,13,21,26,0,16,2,10,0,0,5,56
2020-07-22,9,12,12,16,34,0,21,3,10,0,0,5,61
2020-07-23,12,12,13,37,21,0,43,1,10,0,0,2,59
2020-07-24,7,10,11,32,21,0,64,0,0,0,0,4,49
2020-07-25,7,11,12,24,23,0,49,2,12,0,0,5,45
2020-07-26,4,12,11,30,22,100,45,1,12,0,0,2,41
2020-07-27,6,11,12,16,34,0,22,1,10,87,0,0,48
2020-07-28,9,12,12,59,47,0,16,2,10,0,0,4,54
2020-07-29,9,12,12,16,29,0,17,1,10,0,0,2,52
2020-07-30,12,18,17,37,36,0,14,1,15,0,0,0,58
2020-07-31,7,13,13,49,27,0,11,1,11,0,0,4,49
2020-08-01,8,11,18,24,29,0,9,1,34,0,40,5,40
2020-08-02,7,12,12,48,38,0,9,1,12,0,0,6,40
2020-08-03,8,10,10,32,31,0,13,2,15,0,0,4,51
2020-08-04,9,13,14,31,23,0,8,1,0,0,0,2,58
2020-08-05,9,10,15,21,44,0,16,1,10,0,0,2,55
2020-08-06,16,11,12,26,39,0,13,1,21,0,0,0,53
2020-08-07,17,9,15,37,32,0,17,1,10,0,0,0,54
2020-08-08,14,13,19,12,47,0,11,1,35,0,40,2,44
2020-08-09,13,10,19,30,53,0,7,5,0,0,0,0,41
2020-08-10,16,15,17,26,20,0,0,2,0,0,0,3,54
2020-08-11,48,12,16,31,36,0,15,3,10,0,0,2,58
2020-08-12,39,13,14,31,36,0,17,5,0,0,0,4,64
2020-08-13,18,13,14,26,28,0,21,1,20,0,35,0,54
2020-08-14,11,14,16,42,33,0,19,2,10,0,0,2,54
2020-08-15,13,12,15,18,32,0,14,3,0,0,0,0,47
2020-08-16,11,38,33,42,15,0,13,4,12,0,41,2,43
2020-08-17,10,17,17,50,32,0,13,1,10,0,33,0,54
2020-08-18,21,16,17,54,44,81,28,4,10,0,0,2,53
2020-08-19,24,16,15,54,44,0,99,4,19,0,33,2,51
2020-08-20,19,18,19,39,41,0,20,3,52,78,0,4,56
2020-08-21,45,17,16,25,61,0,15,3,19,80,67,0,51
2020-08-22,14,11,14,47,52,0,14,0,12,0,40,7,46
2020-08-23,9,15,17,35,35,0,5,2,0,0,0,2,47
2020-08-24,11,11,13,48,45,0,11,2,0,0,0,2,50
2020-08-25,7,24,19,33,45,0,24,1,9,0,0,2,56
2020-08-26,7,22,25,38,36,0,10,2,0,0,0,2,55
2020-08-27,5,22,22,58,55,0,13,2,0,0,33,0,63
2020-08-28,12,23,28,30,34,0,16,1,0,0,0,0,54
2020-08-29,11,13,16,68,31,0,7,1,0,0,39,0,42
2020-08-30,7,14,14,58,29,0,9,1,0,0,0,2,42
2020-08-31,10,11,13,42,37,0,14,0,18,0,32,2,54
2020-09-01,13,11,14,14,38,0,3,3,9,0,33,2,52
2020-09-02,17,11,14,44,44,0,3,1,10,0,0,2,50
2020-09-03,12,10,13,19,24,0,16,0,9,0,33,2,48
2020-09-04,11,12,17,25,32,0,12,0,0,0,34,2,55
2020-09-05,14,13,17,24,24,0,7,1,0,0,41,0,42
2020-09-06,7,12,20,79,15,0,4,1,0,0,0,0,48
2020-09-07,8,16,15,29,32,0,11,0,11,0,40,0,46
2020-09-08,8,9,13,20,29,0,7,2,10,0,0,0,43
2020-09-09,7,14,17,44,20,0,9,1,0,0,34,0,51
2020-09-10,9,13,16,29,21,0,3,1,9,0,33,2,50
2020-09-11,7,11,13,20,34,0,4,1,10,0,0,2,49
2020-09-12,5,12,13,17,17,0,7,1,11,0,0,2,41
2020-09-13,11,11,13,45,28,0,7,2,11,0,0,8,42
2020-09-14,8,10,11,34,33,0,6,2,28,0,33,3,44
2020-09-15,9,12,13,10,31,0,6,0,9,0,33,0,53
2020-09-16,15,14,15,0,38,0,6,1,0,0,33,2,47
2020-09-17,12,9,11,14,35,0,11,1,9,0,0,0,55
2020-09-18,11,10,14,39,22,0,9,3,10,0,0,0,42
2020-09-19,12,12,17,100,49,0,9,1,11,0,40,2,47
2020-09-20,10,11,13,47,55,0,12,2,23,0,0,0,35
2020-09-21,9,9,11,35,36,0,12,1,0,0,34,2,43
2020-09-22,12,13,11,40,59,0,27,3,10,0,50,2,53
2020-09-23,12,8,12,55,42,0,14,2,10,0,80,0,48
2020-09-24,9,13,15,54,44,0,18,1,19,0,100,0,56
2020-09-25,8,15,18,27,32,0,11,2,0,0,0,0,49
2020-09-26,7,9,14,30,24,0,5,2,0,0,0,0,45
2020-09-27,9,15,14,42,44,0,4,1,12,0,0,0,40
2020-09-28,12,19,22,31,26,0,9,2,0,0,0,0,58
2020-09-29,22,12,22,31,46,0,9,2,10,0,0,0,48
2020-09-30,100,48,48,38,34,89,30,4,42,0,0,2,100
2020-10-01,31,18,19,37,29,0,9,3,10,0,36,2,53
2020-10-02,29,100,100,49,38,0,15,2,0,88,0,2,80
2020-10-03,16,71,74,37,33,0,4,1,12,0,0,0,65
2020-10-04,18,42,56,36,27,0,18,5,12,0,42,5,55
2020-10-05,15,36,41,47,47,0,3,0,0,0,0,2,61
2020-10-06,16,31,32,36,41,0,11,1,30,0,0,0,63
2020-10-07,18,28,27,36,51,0,9,1,20,0,35,0,54
2020-10-08,35,28,27,26,47,0,20,3,10,0,0,2,71
2020-10-09,13,15,23,35,41,0,12,2,23,0,0,0,54
2020-10-10,12,21,20,25,34,0,17,1,12,100,0,3,46
2020-10-11,11,17,18,55,37,0,9,0,0,0,0,0,37
2020-10-12,11,17,17,29,51,0,12,2,0,0,39,2,52
2020-10-13,16,19,18,52,51,0,17,1,22,0,0,0,57
2020-10-14,13,16,20,41,40,0,16,2,11,0,0,0,60
2020-10-15,27,17,24,46,42,0,10,2,0,0,39,0,57
2020-10-16,24,21,32,71,38,0,7,1,0,0,0,2,59
2020-10-17,17,14,20,32,41,0,8,1,13,0,0,0,47
2020-10-18,14,13,18,19,32,0,6,1,25,0,0,0,47
2020-10-19,12,13,17,34,68,0,19,1,0,0,0,0,52
2020-10-20,16,15,21,77,56,0,16,0,0,0,40,0,57
2020-10-21,15,18,20,47,46,0,100,1,0,0,40,0,66
2020-10-22,22,22,22,53,56,0,41,1,23,0,0,0,61
2020-10-23,59,29,35,53,68,0,62,3,0,0,40,0,93
2020-10-24,24,18,21,45,52,0,21,0,12,0,0,0,49
2020-10-25,26,17,22,38,35,0,11,0,0,0,44,3,49
2020-10-26,23,16,21,34,34,0,15,3,0,0,0,2,62
2020-10-27,29,19,24,64,99,0,21,2,34,0,40,0,72
2020-10-28,23,20,23,75,63,97,26,3,0,94,0,0,74
2020-10-29,20,18,21,29,58,0,33,5,0,95,0,0,86
2020-10-30,25,22,26,81,49,0,19,2,12,0,0,3,64
2020-10-31,19,19,25,34,27,0,18,2,0,0,46,0,49
2020-11-01,20,24,35,35,44,0,21,1,20,0,47,4,51
2020-11-02,26,28,39,95,67,0,21,3,12,0,40,2,76
